THREADS, BATCH_SIZE, TILE_SIZE, TIME
1,      1024,    16,    1.6717
2,      1024,    16,    1.2293
4,      1024,    16,    1.2166
8,      1024,    16,    1.2446
16,     1024,    16,    1.2767
32,     1024,    16,    1.2634
64,     1024,    16,    1.3422
1,      2048,    16,    12.6812
2,      2048,    16,    9.5611
4,      2048,    16,    9.6131
8,      2048,    16,    9.8176
16,     2048,    16,    9.6490
32,     2048,    16,    9.6019
64,     2048,    16,    9.6869
1,      4096,    16,    103.0125
2,      4096,    16,    77.6848
4,      4096,    16,    77.7555
8,      4096,    16,    78.3502
16,     4096,    16,    78.3558
32,     4096,    16,    77.7687
64,     4096,    16,    78.2458
1,      1024,    32,    1.4127
2,      1024,    32,    1.0918
4,      1024,    32,    1.1414
8,      1024,    32,    1.1188
16,     1024,    32,    1.1461
32,     1024,    32,    1.1664
64,     1024,    32,    1.2235
1,      2048,    32,    11.4466
2,      2048,    32,    8.6419
4,      2048,    32,    8.6904
8,      2048,    32,    8.9110
16,     2048,    32,    8.6824
32,     2048,    32,    8.7503
64,     2048,    32,    8.7552
1,      4096,    32,    94.4373
2,      4096,    32,    70.9709
4,      4096,    32,    71.1481
8,      4096,    32,    71.1440
16,     4096,    32,    73.1713
32,     4096,    32,    74.5459
64,     4096,    32,    71.9325
1,      1024,    64,    1.5385
2,      1024,    64,    1.1604
4,      1024,    64,    1.1764
8,      1024,    64,    1.1525
16,     1024,    64,    1.1416
32,     1024,    64,    1.2176
64,     1024,    64,    1.1601
1,      2048,    64,    12.0048
2,      2048,    64,    9.0262
4,      2048,    64,    9.2255
8,      2048,    64,    9.1243
16,     2048,    64,    9.1387
32,     2048,    64,    9.1553
64,     2048,    64,    9.1477
1,      4096,    64,    100.5937
2,      4096,    64,    72.0598
4,      4096,    64,    72.2065
8,      4096,    64,    75.2921
16,     4096,    64,    72.8812
32,     4096,    64,    73.1282
64,     4096,    64,    72.3693
1,      1024,   128,    1.4574
2,      1024,   128,    1.0975
4,      1024,   128,    1.1054
8,      1024,   128,    1.1236
16,     1024,   128,    1.1073
32,     1024,   128,    1.1311
64,     1024,   128,    1.1343
1,      2048,   128,    11.2893
2,      2048,   128,    8.5947
4,      2048,   128,    8.6172
8,      2048,   128,    8.6315
16,     2048,   128,    8.6369
32,     2048,   128,    8.6396
64,     2048,   128,    9.0038
1,      4096,   128,    90.3826
2,      4096,   128,    67.8072
4,      4096,   128,    68.0626
8,      4096,   128,    68.2819
16,     4096,   128,    68.7623
32,     4096,   128,    68.6570
64,     4096,   128,    68.5755
1,      1024,   256,    1.4694
2,      1024,   256,    1.1242
4,      1024,   256,    1.1268
8,      1024,   256,    1.1191
16,     1024,   256,    1.1562
32,     1024,   256,    1.1384
64,     1024,   256,    1.2013
1,      2048,   256,    11.3232
2,      2048,   256,    8.5715
4,      2048,   256,    8.6062
8,      2048,   256,    8.9122
16,     2048,   256,    8.6860
32,     2048,   256,    8.5916
64,     2048,   256,    8.5993
1,      4096,   256,    94.2348
2,      4096,   256,    70.7395
4,      4096,   256,    73.2807
8,      4096,   256,    71.8330
16,     4096,   256,    73.6331
32,     4096,   256,    70.9297
64,     4096,   256,    71.1488
