THREADS, BATCH_SIZE, TILE_SIZE, TIME
1,4096,32,31.0549
1,4096,32,31.0404
1,4096,32,31.0440
1,4096,32,31.0354
1,4096,32,31.0332
2,4096,32,15.6592
2,4096,32,15.6517
2,4096,32,15.6559
2,4096,32,15.6508
2,4096,32,15.6521
4,4096,32,8.1727
4,4096,32,8.1739
4,4096,32,8.1752
4,4096,32,8.1803
4,4096,32,8.1709
8,4096,32,4.4743
8,4096,32,4.4626
8,4096,32,4.4668
8,4096,32,4.4686
8,4096,32,4.4660
16,4096,32,2.6163
16,4096,32,2.6085
16,4096,32,2.6136
16,4096,32,2.6145
16,4096,32,2.6144
32,4096,32,1.3703
32,4096,32,1.3631
32,4096,32,1.3673
32,4096,32,1.3573
32,4096,32,1.3704
64,4096,32,1.2194
64,4096,32,1.2237
64,4096,32,1.2483
64,4096,32,1.2197
64,4096,32,1.2222
1,4096,64,27.0914
1,4096,64,27.1010
1,4096,64,27.1065
1,4096,64,27.0995
1,4096,64,27.0883
2,4096,64,13.6740
2,4096,64,13.6800
2,4096,64,13.6804
2,4096,64,13.6755
2,4096,64,13.6765
4,4096,64,7.1411
4,4096,64,7.1400
4,4096,64,7.1416
4,4096,64,7.1415
4,4096,64,7.1383
8,4096,64,3.8927
8,4096,64,3.8934
8,4096,64,3.8954
8,4096,64,3.8986
8,4096,64,3.8954
16,4096,64,2.1184
16,4096,64,2.1157
16,4096,64,2.1144
16,4096,64,2.1149
16,4096,64,2.1128
32,4096,64,1.1797
32,4096,64,1.1705
32,4096,64,1.1685
32,4096,64,1.1762
32,4096,64,1.1704
64,4096,64,1.2154
64,4096,64,1.2273
64,4096,64,1.2224
64,4096,64,1.2261
64,4096,64,1.2263
1,4096,128,27.7158
1,4096,128,27.6562
1,4096,128,27.6579
1,4096,128,27.6647
1,4096,128,27.6672
2,4096,128,13.9913
2,4096,128,13.9968
2,4096,128,13.9854
2,4096,128,13.9954
2,4096,128,13.9785
4,4096,128,7.3640
4,4096,128,7.3623
4,4096,128,7.3644
4,4096,128,7.3610
4,4096,128,7.3607
8,4096,128,4.0755
8,4096,128,4.0754
8,4096,128,4.0788
8,4096,128,4.0718
8,4096,128,4.0767
16,4096,128,2.2196
16,4096,128,2.1866
16,4096,128,2.1877
16,4096,128,2.1888
16,4096,128,2.1854
32,4096,128,1.5708
32,4096,128,1.5662
32,4096,128,1.5438
32,4096,128,1.5464
32,4096,128,1.5541
64,4096,128,1.7099
64,4096,128,1.6729
64,4096,128,1.6724
64,4096,128,1.6700
64,4096,128,1.6734
