THREADS, BATCH_SIZE, TILE_SIZE, TIME
16,4096,16,1.2117
16,4096,16,1.6487
16,4096,16,1.5770
16,4096,16,1.5720
16,4096,16,1.6091
16,4096,16,1.6486
16,4096,16,1.5954
16,4096,16,1.6169
16,4096,16,1.5881
16,4096,16,1.5829
32,4096,16,1.8099
32,4096,16,1.8319
32,4096,16,1.8807
32,4096,16,1.8203
32,4096,16,1.8113
32,4096,16,1.8161
32,4096,16,1.7997
32,4096,16,1.8110
32,4096,16,1.7910
32,4096,16,1.8396
64,4096,16,0.9414
64,4096,16,1.0021
64,4096,16,1.0214
64,4096,16,0.9725
64,4096,16,0.9855
64,4096,16,0.9779
64,4096,16,0.9803
64,4096,16,0.9933
64,4096,16,0.9644
64,4096,16,0.9624
16,4096,32,1.2989
16,4096,32,1.2669
16,4096,32,1.2662
16,4096,32,1.2600
16,4096,32,1.2654
16,4096,32,1.2672
16,4096,32,1.2719
16,4096,32,1.2736
16,4096,32,1.2678
16,4096,32,1.2739
32,4096,32,0.5557
32,4096,32,0.5571
32,4096,32,0.5571
32,4096,32,0.5529
32,4096,32,0.5580
32,4096,32,0.5591
32,4096,32,0.5546
32,4096,32,0.5521
32,4096,32,0.5601
32,4096,32,0.5559
64,4096,32,0.3474
64,4096,32,0.3501
64,4096,32,0.3501
64,4096,32,0.3491
64,4096,32,0.3527
64,4096,32,0.3459
64,4096,32,0.3447
64,4096,32,0.3523
64,4096,32,0.3489
64,4096,32,0.3487
16,4096,64,1.2008
16,4096,64,1.2038
16,4096,64,1.1935
16,4096,64,1.1970
16,4096,64,1.2017
16,4096,64,1.2056
16,4096,64,1.2075
16,4096,64,1.1917
16,4096,64,1.1935
16,4096,64,1.2075
32,4096,64,0.4829
32,4096,64,0.4784
32,4096,64,0.4764
32,4096,64,0.4821
32,4096,64,0.4807
32,4096,64,0.4783
32,4096,64,0.4738
32,4096,64,0.4798
32,4096,64,0.4777
32,4096,64,0.4816
64,4096,64,0.3379
64,4096,64,0.3281
64,4096,64,0.3501
64,4096,64,0.3455
64,4096,64,0.3469
64,4096,64,0.3465
64,4096,64,0.3321
64,4096,64,0.3370
64,4096,64,0.3359
64,4096,64,0.3288
16,4096,128,1.1141
16,4096,128,1.1184
16,4096,128,1.1146
16,4096,128,1.1205
16,4096,128,1.1146
16,4096,128,1.1115
16,4096,128,1.1220
16,4096,128,1.1438
16,4096,128,1.1300
16,4096,128,1.1269
32,4096,128,0.7915
32,4096,128,0.7940
32,4096,128,0.7830
32,4096,128,0.7857
32,4096,128,0.7916
32,4096,128,0.7814
32,4096,128,0.7900
32,4096,128,0.7881
32,4096,128,0.7834
32,4096,128,0.7959
64,4096,128,1.0275
64,4096,128,0.9969
64,4096,128,1.0080
64,4096,128,1.0340
64,4096,128,1.0136
64,4096,128,1.0208
64,4096,128,0.9945
64,4096,128,1.0236
64,4096,128,1.0296
64,4096,128,1.0222
