Implementation,blockSize,loop_total,avg_loop_t,min_loop_t,max_loop_t,avg_cpu_time,avg_gpu_time,transfers_time,alloc_time,gpu_alloc_time,gpu_get_time
Sequential,Sequential,67653.390884,6765.339088,6698.726892,6972.282887,0,0,0,11.211872,0,0
Naive,32,4318.642139,431.864214,373.738050,573.518038,141.078186,285.988688,4.792333,11.451006,83.884001,677.150011
Naive,64,5006.839991,500.683999,447.162151,639.842987,145.224977,350.038409,5.415678,11.225939,79.099894,674.344063
Naive,128,5039.314985,503.931499,444.682121,613.995075,147.702432,350.825429,5.398750,11.579990,80.145121,675.523996
Naive,238,4839.571953,483.957195,434.774160,614.694834,142.788124,335.796309,5.367661,11.228085,78.383923,667.217016
Naive,256,4960.346937,496.034694,440.623045,638.379097,145.074439,345.587444,5.367804,11.240005,78.865051,673.500061
Naive,512,4945.277929,494.527793,441.447020,637.987137,145.065832,344.066715,5.390501,11.291027,78.711987,672.888994
Naive,1024,5992.143869,599.214387,527.467012,727.486849,167.750812,426.032114,5.426073,11.514187,79.617023,674.731016
Transpose,32,2278.818846,227.881885,192.820072,290.189981,164.640188,59.163237,4.072547,1491.351843,79.793930,351.768017
Transpose,64,2517.573118,251.757312,218.444109,319.329023,168.027830,79.588366,4.135633,1501.427174,80.736160,375.503778
Transpose,128,2499.325037,249.932504,219.494104,320.298195,166.197944,79.644752,4.083562,1487.946987,81.926823,343.483925
Transpose,238,2493.134975,249.313498,218.480110,313.884020,165.595841,79.636264,4.074955,1481.192112,79.373121,343.519926
Transpose,256,2493.885040,249.388504,217.366934,317.988873,165.876126,79.427910,4.078913,1484.161854,79.101086,341.400862
Transpose,512,2490.803003,249.080300,218.449116,318.065166,165.604448,79.329109,4.140878,1495.079041,80.266953,365.432978
Transpose,1024,2495.217085,249.521708,218.123198,316.905022,166.178274,79.257536,4.079700,1487.713099,79.027891,342.715979
Shared,32,2844.906092,284.490609,237.332106,339.242935,241.252804,39.143205,4.088664,1501.109838,80.396891,408.262014
Shared,64,3156.454086,315.645409,274.002075,373.817921,239.960861,71.596503,4.082394,1490.113020,79.934835,341.854095
Shared,128,3251.953125,325.195312,283.422947,385.680914,241.267347,79.377890,4.543948,1498.864889,80.195904,388.953924
Shared,238,3382.740021,338.274002,296.666861,396.471024,239.999986,93.978596,4.289937,1490.992069,82.183838,357.896090
Shared,256,3281.207085,328.120708,284.906864,388.688803,242.060518,81.288910,4.764843,1495.923996,80.104113,378.717899
Shared,512,3256.108046,325.610805,280.462980,380.949020,241.173410,79.711866,4.719210,1489.823103,79.699993,343.436003
Shared,1024,3249.788046,324.978805,282.672882,383.764029,240.501881,79.760861,4.710579,1486.214876,79.335928,357.204914
All_GPU,32,480.803013,48.080301,35.364866,158.183098,0.000000,47.650814,0.012541,1489.084959,79.523087,443.239212
All_GPU,64,697.678089,69.767809,65.355062,72.832108,0.000000,69.339585,0.013709,1489.897013,78.793049,434.167147
All_GPU,128,814.583063,81.458306,80.727100,83.504915,0.000000,81.024313,0.014782,1497.434855,79.350948,455.770969
All_GPU,238,960.381031,96.038103,95.196009,98.212004,0.000000,95.609903,0.013590,1491.471052,79.356909,432.451010
All_GPU,256,833.709955,83.370996,82.613945,85.546970,0.000000,82.944965,0.013685,1492.496967,83.165884,452.913046
All_GPU,512,822.829008,82.282901,80.916882,83.730936,0.000000,81.218839,0.013638,1485.583067,79.715014,430.562019
All_GPU,1024,816.778898,81.677890,80.926895,83.642960,0.000000,81.245780,0.013804,1497.630119,79.687119,451.467037
All_GPU_Delta_Reduction,32,528.494120,52.849412,41.498899,150.560141,0.000095,52.413034,0.013185,1503.392935,80.176115,480.702162
All_GPU_Delta_Reduction,64,480.993032,48.099303,47.354937,50.379992,0.000000,47.671247,0.012755,1494.873047,79.761028,435.029030
All_GPU_Delta_Reduction,128,823.354006,82.335401,81.569910,84.347010,0.000000,81.905127,0.013638,1502.056122,80.338955,443.638086
All_GPU_Delta_Reduction,238,971.429110,97.142911,96.094847,99.140167,0.000000,96.714640,0.014234,1491.293907,95.525026,459.352016
All_GPU_Delta_Reduction,256,824.746847,82.474685,81.739902,84.441900,0.000000,82.042623,0.014377,1497.003078,80.129147,456.880093
All_GPU_Delta_Reduction,512,832.154036,83.215404,82.422972,85.022926,0.000095,82.785535,0.013876,1485.920906,79.356909,429.747105
All_GPU_Delta_Reduction,1024,820.574999,82.057500,81.295013,84.314108,0.000000,81.628561,0.013804,1491.245031,80.783844,442.208052
