Implementation,blockSize,loop_total,avg_loop_t,min_loop_t,max_loop_t,avg_cpu_time,avg_gpu_time,transfers_time,alloc_time,gpu_alloc_time,gpu_get_time
Naive, 32, 4829.751015, 482.975101, 326.347113, 850.283861, 342.472029, 45.058060, 95.438671, 182.440042, 835.598946, 306.244135
Naive, 48, 4684.188128, 468.418813, 324.841022, 732.015133, 343.202162, 32.169700, 93.040681, 180.831909, 812.018156, 302.148819
Naive, 64, 4665.701866, 466.570187, 333.183050, 851.724863, 355.881715, 29.028535, 81.652498, 181.813955, 814.268827, 397.756100
Naive, 128, 4639.818907, 463.981891, 322.549105, 728.610992, 333.196783, 29.019642, 101.759148, 181.308985, 835.916042, 320.584059
Naive, 238, 4626.189947, 462.618995, 321.262836, 928.260088, 355.954504, 30.537486, 76.120043, 179.495096, 877.262831, 447.135925
Naive, 512, 4543.787956, 454.378796, 328.016043, 843.876123, 342.255616, 29.031873, 83.084750, 179.592848, 809.600830, 392.885208
Naive, 1024, 4635.637999, 463.563800, 329.656839, 855.775118, 353.078747, 29.158068, 81.319666, 181.206942, 815.732002, 397.961140
Transpose, 32, 3135.194063, 313.519406, 267.855167, 515.117884, 197.988462, 32.895756, 82.630014, 1029.276133, 1226.989985, 300.607920
Transpose, 48, 3252.364874, 325.236487, 271.940947, 595.062971, 207.512426, 34.996796, 82.722878, 1036.999941, 1325.711012, 320.568085
Transpose, 64, 3009.239912, 300.923991, 268.527985, 585.746050, 198.110461, 29.268861, 73.540044, 1031.368971, 1245.930195, 300.952911
Transpose, 128, 3031.486034, 303.148603, 269.753933, 592.669964, 199.382138, 29.293656, 74.467897, 1039.987087, 1237.398148, 307.929039
Transpose, 238, 3038.841963, 303.884196, 269.218922, 592.761993, 199.720049, 30.399203, 73.759937, 1038.702011, 1260.254860, 301.497936
Transpose, 512, 3015.060186, 301.506019, 266.653061, 596.360207, 198.910952, 29.008317, 73.582220, 1040.645123, 1258.102179, 302.706003
Transpose, 1024, 3016.313076, 301.631308, 268.832922, 589.581966, 199.178171, 28.878927, 73.568320, 1037.508965, 1243.342161, 301.783800
Shared, 32, 3971.812963, 397.181296, 320.446014, 672.546864, 287.184882, 31.172633, 78.818703, 1007.559061, 1241.715908, 305.640936
Shared, 48, 3882.222891, 388.222289, 326.135874, 555.471897, 272.035670, 33.018708, 83.163095, 1014.307022, 1237.527847, 301.373959
Shared, 64, 3817.053080, 381.705308, 323.460102, 549.523115, 269.616199, 27.332950, 84.750867, 1005.806208, 1250.119925, 305.428982
Shared, 128, 3726.429939, 372.642994, 320.106030, 646.152973, 270.250082, 27.277493, 75.110650, 1017.453909, 1235.864878, 301.655054
Shared, 238, 3813.203096, 381.320310, 322.089195, 549.578190, 269.087791, 28.202224, 84.024668, 1007.799149, 1265.733957, 302.836180
Shared, 512, 3916.937828, 391.693783, 320.730925, 642.709970, 282.474661, 27.049017, 82.165003, 1016.721010, 1209.460020, 301.990986
Shared, 1024, 3767.592907, 376.759291, 320.950985, 567.503929, 264.389253, 28.854656, 83.510327, 1005.753994, 1260.505915, 305.378914
All_GPU, 32, 753.259182, 75.325918, 29.402971, 249.217033, 0.000000, 51.536727, 0.013113, 1001.776934, 1177.670002, 375.488997
All_GPU, 48, 680.718899, 68.071890, 29.850960, 152.441978, 0.000000, 42.289186, 0.018454, 986.228943, 1229.382992, 369.622946
All_GPU, 64, 664.129019, 66.412902, 29.419184, 151.547909, 0.000000, 41.782427, 0.018525, 979.094028, 1285.202980, 376.307011
All_GPU, 128, 676.594973, 67.659497, 29.411077, 151.568890, 0.000000, 41.775155, 0.018597, 989.277124, 1258.474112, 369.759083
All_GPU, 238, 660.179138, 66.017914, 29.515028, 151.952982, 0.000000, 41.917157, 0.018334, 988.833904, 1236.058950, 369.992971
All_GPU, 512, 674.345970, 67.434597, 29.409170, 151.422024, 0.000000, 41.761398, 0.017905, 999.317169, 1273.854971, 370.429039
All_GPU, 1024, 658.914089, 65.891409, 29.397964, 151.737213, 0.000000, 41.785145, 0.018191, 1007.914066, 1245.872021, 369.960070
