Gauss-Seidel X=2048, Y=2048, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=12.110039, TotalTime=12.110401, midpoint=0.849018
Gauss-Seidel X=2048, Y=2048, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=6.056484, TotalTime=12.170963, midpoint=0.849018
Gauss-Seidel X=2048, Y=2048, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=3.045870, TotalTime=6.278003, midpoint=0.849018
Gauss-Seidel X=2048, Y=2048, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=2.125673, TotalTime=4.427445, midpoint=0.849018
Gauss-Seidel X=2048, Y=2048, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=1.052972, TotalTime=2.392257, midpoint=0.849018
Gauss-Seidel X=2048, Y=2048, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=0.387571, TotalTime=1.184667, midpoint=0.849018
Gauss-Seidel X=2048, Y=2048, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=0.190751, TotalTime=0.767306, midpoint=0.849018
Gauss-Seidel X=4096, Y=4096, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=48.428464, TotalTime=48.428901, midpoint=0.900935
Gauss-Seidel X=4096, Y=4096, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=24.231995, TotalTime=48.530636, midpoint=0.900935
Gauss-Seidel X=4096, Y=4096, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=12.167650, TotalTime=24.712055, midpoint=0.900935
Gauss-Seidel X=4096, Y=4096, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=8.656501, TotalTime=17.604762, midpoint=0.900935
Gauss-Seidel X=4096, Y=4096, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=4.657379, TotalTime=10.116422, midpoint=0.900935
Gauss-Seidel X=4096, Y=4096, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=2.307087, TotalTime=5.701389, midpoint=0.900935
Gauss-Seidel X=4096, Y=4096, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=1.847624, TotalTime=4.558888, midpoint=0.900935
Gauss-Seidel X=6144, Y=6144, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=108.970106, TotalTime=108.970677, midpoint=0.942706
Gauss-Seidel X=6144, Y=6144, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=54.492296, TotalTime=109.079785, midpoint=0.942706
Gauss-Seidel X=6144, Y=6144, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=27.367404, TotalTime=55.375957, midpoint=0.942706
Gauss-Seidel X=6144, Y=6144, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=19.493817, TotalTime=39.467465, midpoint=0.942706
Gauss-Seidel X=6144, Y=6144, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=10.429701, TotalTime=22.576028, midpoint=0.942706
Gauss-Seidel X=6144, Y=6144, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=5.252417, TotalTime=12.721164, midpoint=0.942706
Gauss-Seidel X=6144, Y=6144, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=4.352272, TotalTime=10.836761, midpoint=0.942706
