Jacobi X=2048, Y=2048, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=8.256367, TotalTime=8.256462, midpoint=0.000000
Jacobi X=2048, Y=2048, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=6.006688, TotalTime=6.042840, midpoint=0.000000
Jacobi X=2048, Y=2048, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=4.321553, TotalTime=4.423690, midpoint=0.000000
Jacobi X=2048, Y=2048, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=4.238995, TotalTime=4.426211, midpoint=0.000000
Jacobi X=2048, Y=2048, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=2.036526, TotalTime=2.333590, midpoint=0.000000
Jacobi X=2048, Y=2048, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=0.464142, TotalTime=0.802490, midpoint=0.000000
Jacobi X=2048, Y=2048, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=0.052959, TotalTime=0.451219, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=32.941914, TotalTime=32.942085, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=24.000700, TotalTime=24.087159, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=17.348340, TotalTime=17.580749, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=17.355181, TotalTime=17.719156, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=9.205672, TotalTime=10.073047, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=4.583105, TotalTime=5.612990, midpoint=0.000000
Jacobi X=4096, Y=4096, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=3.255387, TotalTime=4.450662, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=74.097092, TotalTime=74.097276, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=54.027940, TotalTime=54.120702, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=38.938746, TotalTime=39.368745, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=38.979696, TotalTime=39.605719, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=20.766443, TotalTime=22.459259, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=10.388238, TotalTime=12.623821, midpoint=0.000000
Jacobi X=6144, Y=6144, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=8.213382, TotalTime=10.776969, midpoint=0.000000
