Red-Black X=2048, Y=2048, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=18.618082, TotalTime=18.618398, midpoint=0.000000
Red-Black X=2048, Y=2048, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=12.154500, TotalTime=12.227109, midpoint=0.000000
Red-Black X=2048, Y=2048, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=8.618701, TotalTime=8.794946, midpoint=0.000000
Red-Black X=2048, Y=2048, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=8.393149, TotalTime=8.578932, midpoint=0.000000
Red-Black X=2048, Y=2048, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=3.826928, TotalTime=4.287155, midpoint=0.000000
Red-Black X=2048, Y=2048, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=0.844140, TotalTime=1.322518, midpoint=0.000000
Red-Black X=2048, Y=2048, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=0.126238, TotalTime=0.657560, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=74.329049, TotalTime=74.329416, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=48.647860, TotalTime=48.741467, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=34.548187, TotalTime=34.906429, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=34.641780, TotalTime=35.173806, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=18.382218, TotalTime=19.455751, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=8.932798, TotalTime=10.171594, midpoint=0.000000
Red-Black X=4096, Y=4096, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=6.271241, TotalTime=7.673980, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=1, Px=1, Py=1, Iter=256, ComputationTime=167.483126, TotalTime=167.483545, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=2, Px=2, Py=1, Iter=256, ComputationTime=109.576443, TotalTime=109.690845, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=4, Px=2, Py=2, Iter=256, ComputationTime=77.774364, TotalTime=78.383755, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=8, Px=4, Py=2, Iter=256, ComputationTime=78.146808, TotalTime=78.933372, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=16, Px=4, Py=4, Iter=256, ComputationTime=41.424480, TotalTime=43.589893, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=32, Px=8, Py=4, Iter=256, ComputationTime=20.754688, TotalTime=23.259513, midpoint=0.000000
Red-Black X=6144, Y=6144, Workers=64, Px=8, Py=8, Iter=256, ComputationTime=16.551085, TotalTime=19.171505, midpoint=0.000000
